Round,All India Rank,Choice No.,Institute,Course,Allotted Quota,Allotted/Candidate Category,Cand_Cat_Split,Status
1,1702,-,"MURSHIDABAD MEDICAL COLLEGE AND HOSPITAL, MURSHIDABAD",MBBS,State Quota,UR,General,Retained
1,1724,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,1746,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2201,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2485,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2491,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2633,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2743,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2817,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2870,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,2979,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,2983,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3067,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3082,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,3104,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3263,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3269,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3327,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3390,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3428,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3472,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3476,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,3485,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3526,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3530,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3531,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3556,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3577,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3581,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3596,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3642,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3682,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3707,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3865,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3895,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3959,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,3967,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,4003,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4016,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4052,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4094,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4113,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4137,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4170,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4217,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4221,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4246,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4258,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4298,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4376,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
2,4400,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC (Non-Creamy Layer),,Retained
1,4407,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4411,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4570,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4572,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4647,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4662,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,4683,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4709,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4714,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,4747,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4754,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4777,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4782,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4784,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,4810,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,4817,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,4880,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4905,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4922,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4926,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4954,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,4963,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5011,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5038,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5081,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5126,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5146,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5176,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5218,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,EWS,Retained
1,5224,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5233,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5309,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5339,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5389,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5435,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5450,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5467,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5530,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5554,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5570,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,EWS,Retained
1,5599,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5624,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5625,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5646,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,5653,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5675,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,5704,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5712,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5738,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,5739,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5751,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5778,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5793,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5799,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5802,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5833,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5849,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5880,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5913,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
