Round,All India Rank,Choice No.,Institute,Course,Allotted Quota,Allotted/Candidate Category,Cand_Cat_Split,Status
1,1091,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,1095,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,1102,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,1110,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,1373,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,1395,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,1597,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,1831,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Fresh Allotment
1,2460,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2525,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2553,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2586,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2702,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2717,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2745,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2764,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Fresh Allotment
1,2870,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,2891,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3030,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3034,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3074,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3124,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3166,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3190,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3223,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3260,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3263,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3267,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3333,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3356,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3378,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3381,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3424,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3433,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3446,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3532,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3541,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3565,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3639,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3672,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3679,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3715,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3748,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3755,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3769,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3836,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3838,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3850,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3903,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3959,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,3988,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4002,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4005,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4021,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4025,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4035,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4056,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4059,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4072,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4136,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4138,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4146,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4158,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4198,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4265,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4292,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4298,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Fresh Allotment
1,4300,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4350,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Fresh Allotment
1,4441,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4486,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4494,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4524,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4525,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4528,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4570,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4599,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4658,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4669,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,EWS,Fresh Allotment
1,4689,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4704,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4713,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4736,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4766,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4775,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4835,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4855,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4895,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,4966,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5024,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5075,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,EWS,Fresh Allotment
1,5093,1,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5210,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5242,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5273,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5321,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5357,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Fresh Allotment
1,5363,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Fresh Allotment
